규격정제,No,접수일자,접수번호,상태,상호,담당자,사용자,제품명,모델ㆍ규격,수입국,연간수입예정량,HSK No,구분,사용여부,대리인,저장일자,소속,등록(등록),등록(면제),기존(등록),기존(면제),신규(등록),신규(면제),유독물질,허가물질,제한물질,금지물질,사고대비물질,유독물질,허가물질,제한물질,금지물질,사고대비물질
9456,28,2021-11-12,42111120005,승인,영인과학(주),민준희,한주현,Tru-Zero Bilirubin; Product No. 9456,Tru-Zero Bilirubin (2 X 5 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-12,,,,,O,,,,,,,,,,,,
9020,29,2021-11-11,42111110440,승인,영인과학(주),민준희,한주현,"Urine Uric Acid Standard, Product No. 9020",Urine Uric Acid Standard (5 X 5 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9216,30,2021-11-11,42111110447,승인,영인과학(주),민준희,한주현,"Carbon Dioxide Standard, Level F; Product No. 9216","Carbon Dioxide Standard, Level F (1 X 15 mL)",United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9240,31,2021-11-11,42111110448,승인,영인과학(주),민준희,한주현,Serum ISE Standard; Product No. 9240,Serum ISE Standard (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9040,32,2021-11-11,42111110442,승인,영인과학(주),윤수린,한주현,"Ammonia / Iron Standard, Product No. 9040",Ammonia / Iron Standard (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9410,33,2021-11-11,42111110449,승인,영인과학(주),민준희,한주현,Enzyme ER Verifier; Product No. 9410,Enzyme ER Verifier (6 X 5 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9000,34,2021-11-11,42111110437,승인,영인과학(주),민준희,한주현,"Urine Chemistry Standard, Product No. 9000",Urine Chemistry Standard (5x15mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9436,35,2021-11-11,42111110451,승인,영인과학(주),민준희,한주현,"Bilirubin Standard, Level F; Product No. 9436","Bilirubin Standard, Level F (2 X 5 mL)",United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9210,36,2021-11-11,42111110446,승인,영인과학(주),민준희,한주현,Carbon Dioxide Standard Product No. 9210,Carbon Dioxide Standard (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9200,37,2021-11-11,42111110445,승인,영인과학(주),민준희,한주현,Electrolyte Standard Product No. 9200,Electrolyte Standard (5 X 15 mL),United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9046,38,2021-11-11,42111110443,승인,영인과학(주),민준희,한주현,"Ammonia / Iron Standard, Level F Product No. 9046","Ammonia / Iron Standard, Level F (1 X 15 mL)",United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
9417,39,2021-11-11,42111110450,승인,영인과학(주),민준희,한주현,"Enzyme ER Verifier, Level G; Product No. 9417","Enzyme ER Verifier, Level G (1 X 5 mL)",United States,1.5,3002.90-1000,WEB,Y,,2021-11-11,,,,,O,,,,,,,,,,,,
VUV-000165,41,2020-01-29,42001280402,승인,영인과학(주),이혜민,한주현,Carbon Disulfide Standard,VUV-000165 VUV ILS CARBON DISULFIDE IN METHANOL STANDARD 1x2 ml ampoule of Carbon Disulfide in Methanol,United States,0.001,3822.00-3048,WEB,Y,,2020-01-28,,,,,,,,O,,,,O,,,,,
VUV-000067,42,2020-01-29,42001280397,승인,영인과학(주),이혜민,한주현,DRO/ORO Range Calibration Standard,VUV-000067 DRO/ORO Range Calibration Standard,United States,0.001,2903.12-0000,WEB,Y,,2020-01-28,,,,,,,,O,,,,,,,,,
20001.421,43,2019-04-22,41904170137,승인,영인과학(주),한주현,,Sample Box n-Paraffin mix D6729 (5pcs),20001.421 Sample Box n-Paraffin mix D6729 (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2019-04-17,,,,,,,,,,,,,,,,,
E80-0001-010,44,2018-10-22,41810220199,승인,영인과학(주),오하은,한주현,Carbon Disulfide Standard,E80-0001-010 Carbon Disulfide Standard,United States,0.001,2903.12-0000,WEB,Y,,2018-10-22,,,,O,,,,O,,,,O,,,,,
E80-0001-010,45,2018-10-22,41810220180,승인,영인과학(주),오하은,한주현,DRO/ORO Range Calibration Standard,E80-0001-010 DRO/ORO Range Calibration Standard,United States,0.001,2903.12-0000,WEB,Y,,2018-10-22,,,,O,,,,,,,,,,,,,
VUVILS,46,2018-10-02,41810020329,승인,영인과학(주),오하은,한주현,CARBON DISULFIDE IN METHANOL STANDARD 1x2 ml ampoule of Carbon Disulfide in Methanol,VUV ILS CARBON DISULFIDE IN METHANOL STANDARD 1x2 ml ampoule of Carbon Disulfide in Methanol,United States,0.001,3822.00-3048,WEB,Y,,2018-10-02,,,,O,,,,O,,,,O,,,,,
E21-0242-010,47,2018-09-21,41809210266,승인,영인과학(주),오하은,한주현,1X1 ampoule containing custom DRO/ORO mixture combined and sealed with 1 ml of material inside a 2 ml ampoule,E21-0242-010 1X1 ampoule containing custom DRO/ORO mixture combined and sealed with 1 ml of material inside a 2 ml ampoule,United States,0.001,2903.12-0000,WEB,Y,,2018-09-21,,,,,O,,,,,,,,,,,,
20001.59,52,2018-06-18,41806180583,승인,영인과학(주),조금준,한주현,RFA Reference Sample,20001.590 RFA Reference Sample,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-18,,,,,,,,,,,,,,,,,
20002.003,53,2018-06-18,41806180593,승인,영인과학(주),조금준,한주현,MIX SAMPLE BOX DHAX,20002.003 MIX SAMPLE BOX DHAX,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-18,,,,,,,,,,,,,,,,,
20002.02,54,2018-06-18,41806180600,승인,영인과학(주),조금준,한주현,MIX SAMPLE BOX D6729,20002.020 MIX SAMPLE BOX D6729,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-18,,,,,,,,,,,,,,,,,
20002.045,55,2018-06-06,41806060007,승인,영인과학(주),조금준,한주현,Mix Sample Box Simdis D7213,20002.045 Mix Sample Box Simdis D7213,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-06,,,,,,,,,,,,,,,,,
20002.04,56,2018-06-06,41806060006,승인,영인과학(주),조금준,한주현,"Mix Sample Box 2, Reformulyzer","20002.040 Mix Sample Box 2, Reformulyzer",Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-06,,,,,O,,,O,,,,O,,,,,
20002.039,57,2018-06-05,41806050467,승인,영인과학(주),조금준,한주현,"Mix Sample Box 1, Reformulyzer, 4*1.5mL","20002.039 Mix Sample Box 1, Reformulyzer, 4*1.5mL",Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-05,,,,,,,,,,,,,,,,,O
PL2010-0102,58,2018-06-05,41806050458,승인,영인과학(주),최유식,한주현,Polystyrene Calibration kit S-M2-10,PL2010-0102 Polystyrene Calibration kit S-M2-10,United States,0.01,3822.00-3048,WEB,Y,,2018-06-05,,,,,,,,,,,,,O,,,,O
20002.002,59,2018-06-05,41806050384,승인,영인과학(주),조금준,한주현,Mix Sample Box I DHA (Combi),20002.002 Mix Sample Box I DHA (Combi),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-05,,,,,,,,,,,,,O,,,,O
20001.655,60,2018-06-04,41806040608,승인,영인과학(주),조금준,한주현,SAMPLE BOX FOR SCS1 EN12916/IP391,20001.655 SAMPLE BOX FOR SCS1 EN12916/IP391,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-04,,,,,O,,,O,,,,,O,,,,O
20001.652,61,2018-06-04,41806040507,승인,영인과학(주),조금준,한주현,"Sample Box, MDA Reference Gasoil (5pcs)","20001.652 Sample Box, MDA Reference Gasoil (5pcs)",Netherlands,1.111,3822.00-3048,WEB,Y,,2018-06-04,,,,,,,,,,,,,O,,,,O
20001.627,62,2018-05-24,41805240481,승인,영인과학(주),조금준,한주현,Sample Box ASTM D5134 Column Evaluation mix,20001.627 Sample Box ASTM D5134 Column Evaluation mix,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,O,,,O,,,,O,O,,,,O
20001.57,63,2018-05-24,41805240434,승인,영인과학(주),조금준,한주현,SAMPLE BOX C6:0 - C24:1 EN14103,20001.570 SAMPLE BOX C6:0 - C24:1 EN14103,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,O,,,O,,,,O,O,,,,O
20001.545,64,2018-05-24,41805240425,승인,영인과학(주),조금준,한주현,Sample Box QC Gasoline N,20001.545 Sample Box QC Gasoline N,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,O,,,O,,,,O,O,,,,O
20001.544,65,2018-05-24,41805240420,승인,영인과학(주),조금준,한주현,Sample Box QC Gasoline M,20001.544 Sample Box QC Gasoline M,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,O,,,O,,,,O,,,,,
20001.574,66,2018-05-24,41805240441,승인,영인과학(주),조금준,한주현,SAMPLE BOX STANDARD GLYCERIDES EN14105:2011,20001.574 SAMPLE BOX STANDARD GLYCERIDES EN14105:2011,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,,,,,O
20001.551,67,2018-05-24,41805240427,승인,영인과학(주),조금준,한주현,SAMPLE BOX CAL.SIMDIS D7213,20001.551 SAMPLE BOX CAL.SIMDIS D7213,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,O,,,,O
20001.595,68,2018-05-24,41805240458,승인,영인과학(주),조금준,한주현,Sample Box ASTM D4815 Calibration set,20001.595 Sample Box ASTM D4815 Calibration set,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,O,,,O,,,,,,,,,
20001.591,69,2018-05-24,41805240453,승인,영인과학(주),조금준,한주현,Sample Box Reference RF-C2 (5pcs),20001.591 Sample Box Reference RF-C2 (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,,,,,
20001.587,70,2018-05-24,41805240451,승인,영인과학(주),조금준,한주현,Sample Box QC-Standard Solution ISO 9377-2 (1ml),20001.587 Sample Box QC-Standard Solution ISO 9377-2 (1ml),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,,,,,
20001.55,71,2018-05-24,41805240426,승인,영인과학(주),조금준,한주현,SAMPLE BOX CRUDE OIL ANALYZER,20001.550 SAMPLE BOX CRUDE OIL ANALYZER,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,,,,,
20001.596,72,2018-05-24,41805240460,승인,영인과학(주),조금준,한주현,Sample Box ASTM D5580 Calibration and Valve set,20001.596 Sample Box ASTM D5580 Calibration and Valve set,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,O,,,O,,,,O,,,,,
20001.564,73,2018-05-24,41805240430,승인,영인과학(주),조금준,한주현,Sample Box Monoglyceride ID sample EN14105 / ASTM D6584-10 (1ml),20001.564 Sample Box Monoglyceride ID sample EN14105 / ASTM D6584-10 (1ml),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,O,,,,
20001.628,74,2018-05-24,41805240489,승인,영인과학(주),한주현,한주현,Sample Box ASTM D5134 Splitter linearity mix,20001.628 Sample Box ASTM D5134 Splitter linearity mix,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,O,,,O,,,,O,O,,,,
20001.573,75,2018-05-24,41805240438,승인,영인과학(주),조금준,한주현,"SAMPLE BOX 1,2,4-BUTANETRIOL EN14105:2011","20001.573 SAMPLE BOX 1,2,4-BUTANETRIOL EN14105:2011",Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,,,,,
20001.572,76,2018-05-24,41805240437,승인,영인과학(주),조금준,한주현,SAMPLE BOX GLYCEROL EN14105:2011,20001.572 SAMPLE BOX GLYCEROL EN14105:2011,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,,,,,
20001.571,77,2018-05-24,41805240435,승인,영인과학(주),조금준,한주현,SAMPLE BOX METHYLNONADECANOATE EN14103:2011,20001.571 SAMPLE BOX METHYLNONADECANOATE EN14103:2011,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-24,,,,,,,,,,,,,,,,,
7020-A,78,2018-05-23,41805230383,승인,영인과학(주),한주현,한주현,Hydrochloric Acid Solution Instant FAME Reagent 3,"7020-A Instant FAME, 7020-M Instant FAME Refill",United States,3.569,8419.90-9090,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,,,,,
7020-A,79,2018-05-23,41805230360,승인,영인과학(주),한주현,한주현,Potassium Hydroxide Methanol Solution Instant FAME Reagent 1,"7020-A Instant FAME, 7020-M Instant FAME Refill",United States,3.569,8419.90-9090,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,,,,,
20001.543,80,2018-05-23,41805230563,승인,영인과학(주),조금준,한주현,Sample Box QC Gasoline L,20001.543 Sample Box QC Gasoline L,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,,,,,
20001.542,81,2018-05-23,41805230558,승인,영인과학(주),조금준,한주현,Sample Box QC Gasoline K,20001.542 Sample Box QC Gasoline K,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,O,,,,O
20001.123,82,2018-05-23,41805230425,승인,영인과학(주),조금준,한주현,Sample Box Boiling Point Calibration nC5-nC44 (5pcs),20001.123 Sample Box Boiling Point Calibration nC5-nC44 (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,O
20001.124,83,2018-05-23,41805230433,승인,영인과학(주),조금준,한주현,Sample box: Calibration Heavy Samples : SIMDIS High Temperature,20001.124 Sample box: Calibration Heavy Samples : SIMDIS High Temperature,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.52,84,2018-05-23,41805230542,승인,영인과학(주),조금준,한주현,Calibration Sample (14 oxygenates),20001.520 Calibration Sample (14 oxygenates),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,O,,,,
20001.539,85,2018-05-23,41805230551,승인,영인과학(주),조금준,한주현,Sample Box QC FCC Naphtha (5pcs),20001.539 Sample Box QC FCC Naphtha (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,,,,,
20001.089,86,2018-05-23,41805230404,승인,영인과학(주),조금준,한주현,Sample Box MSTFA 1ml (5pcs),20001.089 Sample Box MSTFA 1ml (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.31,87,2018-05-23,41805230482,승인,영인과학(주),조금준,한주현,Sample box Reference Lube Oil (5pcs),20001.310 Sample box Reference Lube Oil (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.132,88,2018-05-23,41805230445,승인,영인과학(주),조금준,한주현,"SAMPLE, QC REF SIMDIS 5010","20001.132 SAMPLE, QC REF SIMDIS 5010",Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.21,89,2018-05-23,41805230474,승인,영인과학(주),조금준,한주현,"Sample, Reference 140-400degr. C SD8634 (5 pcs)","20001.210 Sample, Reference 140-400degr. C SD8634 (5 pcs)",Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.166,90,2018-05-23,41805230464,승인,영인과학(주),조금준,한주현,Sample Box QC Alkylate (5pcs),20001.166 Sample Box QC Alkylate (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.125,91,2018-05-23,41805230437,승인,영인과학(주),조금준,한주현,Sample box: Calibration light Samples : SIMDIS High Temperature,20001.125 Sample box: Calibration light Samples : SIMDIS High Temperature,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.091,92,2018-05-23,41805230411,승인,영인과학(주),조금준,한주현,SAMPLE BOX 2-PROPANOL EN14110,20001.091 SAMPLE BOX 2-PROPANOL EN14110,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,O,,,,
20001.088,93,2018-05-23,41805230396,승인,영인과학(주),조금준,한주현,Sample Box Calibration Set EN14105 /ASTM D6584-10 (set 5x1ml / 2x5ml),20001.088 Sample Box Calibration Set EN14105 /ASTM D6584-10 (set 5x1ml / 2x5ml),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.538,94,2018-05-23,41805230549,승인,영인과학(주),조금준,한주현,SAMPLE BOX REFORMATE,20001.538 SAMPLE BOX REFORMATE,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.409,95,2018-05-23,41805230539,승인,영인과학(주),조금준,한주현,Sample Box QC Naphtha (5pcs),20001.409 Sample Box QC Naphtha (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,O,,,,
20001.537,96,2018-05-23,41805230545,승인,영인과학(주),조금준,한주현,Sample Box QC Reformer Feed (5pcs),20001.537 Sample Box QC Reformer Feed (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.309,97,2018-05-23,41805230481,승인,영인과학(주),조금준,한주현,"Sample, Graphimetric blend, SimDis HT (5 pcs)","20001.309 Sample, Graphimetric blend, SimDis HT (5 pcs)",Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.3,98,2018-05-23,41805230478,승인,영인과학(주),조금준,한주현,Sample Box QC Reformer Feed (5pcs),20001.300 Sample Box QC Reformer Feed (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.206,99,2018-05-23,41805230468,승인,영인과학(주),조금준,한주현,Sample Box n-Paraffin sample C5-C14 (5pcs),20001.206 Sample Box n-Paraffin sample C5-C14 (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.165,100,2018-05-23,41805230458,승인,영인과학(주),조금준,한주현,Sample Box QC Isomerate (5pcs),20001.165 Sample Box QC Isomerate (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.157,101,2018-05-23,41805230452,승인,영인과학(주),조금준,한주현,Sample Box QC Gravimetric Standard 512 (5pcs),20001.157 Sample Box QC Gravimetric Standard 512 (5pcs),Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
20001.092,102,2018-05-23,41805230420,승인,영인과학(주),조금준,한주현,SAMPLE BOX METHANOL,20001.092 SAMPLE BOX METHANOL,Netherlands,1.111,3822.00-3048,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,,,,,
7020-A,103,2018-05-23,41805230377,승인,영인과학(주),한주현,한주현,Hexane Instant FAME Reagent 2,"7020-A Instant FAME, 7020-M Instant FAME Refill",United States,3.569,8419.90-9090,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
7020-A,104,2018-05-23,41805230302,승인,영인과학(주),한주현,한주현,Methanol Rinse IFAME/IAN/QFAME/EFAME Methods,"7020-A Instant FAME, 7020-M Instant FAME Refill",United States,3.569,8419.90-9090,WEB,Y,,2018-05-23,,,,,O,,,O,,,,O,,,,,
7020-A,105,2018-05-23,41805230296,승인,영인과학(주),한주현,한주현,Hexane Wash IFAME/IAN/QFAME/EFAME Methods,"7020-A Instant FAME, 7020-M Instant FAME Refill",United States,3.569,8419.90-9090,WEB,Y,,2018-05-23,,,,,,,,,,,,,,,,,
,108,2015-02-06,41502060301,승인,영인과학(주),송정화,,Specificity Set,,United States,5,3822.00-3048,DESK,,,2015-02-06,,,,,,,,O,,,,O,,,,,
,109,2015-02-06,41502060301,승인,영인과학(주),송정화,,Robustness Set,,United States,5,3822.00-3048,DESK,,,2015-02-06,,,,,,,,O,,,,,,,,,
,110,2015-02-06,41502060301,승인,영인과학(주),송정화,,Accuracy/Precision Set,,United States,5,3822.00-3048,DESK,,,2015-02-06,,,,,,,,,,,,,O,,,,
,111,2015-02-06,41502060301,승인,영인과학(주),송정화,,M9 / 900 Linearity Standard Set,,United States,5,3822.00-3048,DESK,,,2015-02-06,,,,,,,,,,,,,O,,,,O
,112,2015-02-06,41502060301,승인,영인과학(주),송정화,,"M-Series Single Pt Cal(1,5,10,25,50mg/l)",,United States,5,3822.00-3048,DESK,,,2015-02-06,,,,,,,,,,,,,,,,,
,113,2015-02-06,41502060301,승인,영인과학(주),송정화,,900 Multipoint Cal Standard Set,,United States,5,3822.00-3048,DESK,,,2015-02-06,,,,,,,,,,,,,,,,,
,114,2015-02-06,41502060301,승인,영인과학(주),송정화,,Phosphoric Acid 45%,,United States,5,2809.20-1090,DESK,,,2015-02-06,,,,,,,,,,,,,,,,,
,115,2015-02-06,41502060301,승인,영인과학(주),송정화,,Buffered Ammonium Persulfate Solution,,United States,5,2833.40-9000,DESK,,,2015-02-06,,,,,,,,,,,,,,,,,
,116,2013-12-16,41312160097,승인,영인과학(주),고유미,,"1PPM, 77 CMPD T015 STD, 6L",,United States,0.5,9027.90-9999,DESK,,,2013-12-16,,,,,,,,O,,,,O,,,,,
,117,2013-04-15,41304150273,승인,영인과학(주),이종국,,Phosphoric Acid,,United States,100,2809.20-1090,DESK,,,2013-04-15,,,,,,,,,,,,,,,,,
,118,2013-04-15,41304150273,승인,영인과학(주),이종국,,Buffered Ammonium Persulfate Solution,,United States,100,2833.40-9000,DESK,,,2013-04-15,,,,,,,,,,,,,,,,,
